team,gsis_id,player,availability_probability,offense_snap_share_low,offense_snap_share_base,offense_snap_share_high,defense_snap_share_low,defense_snap_share_base,defense_snap_share_high,source_as_of,source_note,role_note
LAR,00-0039075,Puka Nacua,0.70,,,,,,,2026-08-18T02:09:47-07:00,Sean McCabe note: dinged; back around Week 1 but may not be at full speed,
LAR,00-0033868,Myles Garrett,0.70,,,,,,,2026-08-18T02:09:47-07:00,Sean McCabe note: dinged; back around Week 1 but may not be at full speed,
SF,00-0039916,Ricky Pearsall,0.00,,,,,,,2026-08-18T02:09:47-07:00,Sean McCabe note: IR,
SF,00-0033280,Christian McCaffrey,0.70,,,,,,,2026-08-18T02:09:47-07:00,Sean McCabe note: banged up,
SF,00-0033288,George Kittle,0.25,,,,,,,2026-08-18T02:09:47-07:00,Sean McCabe note: Achilles PUP; projected Week 1,
NO,00-0041029,Jordyn Tyson,0.00,0.15,0.30,0.45,0.00,0.00,0.00,2026-08-18T02:09:47-07:00,Sean McCabe note: out about two months,Provisional rookie-WR role prior; research-only
