game_id,season,week,kickoff,margin_prediction,margin_actual,total_prediction,total_actual,margin_lower,margin_upper,margin_covered,total_lower,total_upper,total_covered
2020_01_HOU_KC,2020,1,2020-09-10T20:20-04:00,8.904400504283819,14.0,49.6374269005848,54.0,-8.235850756492825,26.044651765060465,True,30.918128654970765,68.35672514619884,True
2020_01_CHI_DET,2020,1,2020-09-13T13:00-04:00,0.2969176447912103,-4.0,41.9375,50.0,-16.843333615985433,17.437168905567855,True,23.218201754385966,60.656798245614034,True
2020_01_CLE_BAL,2020,1,2020-09-13T13:00-04:00,10.02291880337365,32.0,47.838235294117645,44.0,-7.117332457402995,27.163170064150293,False,29.11893704850361,66.55753353973168,True
2020_01_GB_MIN,2020,1,2020-09-13T13:00-04:00,1.2018922229573152,-9.0,44.166666666666664,77.0,-15.938359037819328,18.34214348373396,True,25.44736842105263,62.8859649122807,False
2020_01_IND_JAX,2020,1,2020-09-13T13:00-04:00,-3.1613800472378606,7.0,44.71875,47.0,-20.301631308014503,13.978871213538783,True,25.999451754385966,63.438048245614034,True
2020_01_LV_CAR,2020,1,2020-09-13T13:00-04:00,-2.047047232320338,-4.0,48.1875,64.0,-19.187298493096982,15.093204028456306,True,29.468201754385966,66.90679824561403,True
2020_01_MIA_NE,2020,1,2020-09-13T13:00-04:00,8.086275609120651,10.0,44.94117647058823,32.0,-9.053975651655993,25.226526869897295,True,26.221878224974198,63.660474716202266,True
2020_01_NYJ_BUF,2020,1,2020-09-13T13:00-04:00,3.9924042112327505,10.0,37.90257352941177,44.0,-13.147847049543893,21.132655472009393,True,19.183275283797734,56.6218717750258,True
2020_01_PHI_WAS,2020,1,2020-09-13T13:00-04:00,-5.759434698047044,10.0,44.40625,44.0,-22.89968595882369,11.3808165627296,True,25.686951754385966,63.125548245614034,True
2020_01_SEA_ATL,2020,1,2020-09-13T13:00-04:00,0.9997543037454164,-13.0,48.81944444444444,63.0,-16.140496957031228,18.14000556452206,True,30.10014619883041,67.53874269005848,True
